MT-ND6,YP_003024037,None
HSPD1,NP_002147,NM_002156.5
HSPD1,NP_955472,NM_199440.2
MARS2,NP_612404,NM_138395.4
C2orf69,NP_710156,NM_153689.6
MAIP1,NP_078796,NM_024520.3
NIF3L1,NP_001129511,NM_001136039.2
NIF3L1,NP_068596,NM_021824.3
NIF3L1,NP_001135828,NM_001142356.1
NIF3L1,NP_001135827,NM_001142355.1
NDUFB3,NP_002482,NM_002491.3
NDUFB3,NP_001244031,NM_001257102.2
CASP8,NP_203520,NM_033356.4
CASP8,NP_001073594,NM_001080125.2
NDUFS1,NP_001186913,NM_001199984.2
NDUFS1,NP_001186911,NM_001199982.2
NDUFS1,NP_004997,NM_005006.7
NDUFS1,NP_001186912,NM_001199983.2
NDUFS1,NP_001186910,NM_001199981.2
FASTKD2,NP_001129666,NM_001136194.2
FASTKD2,NP_001129665,NM_001136193.2
FASTKD2,NP_055744,NM_014929.4
ACADL,NP_001599,NM_001608.4
CPS1,NP_001866,NM_001875.5
CPS1,NP_001116106,NM_001122634.3
PNKD,NP_001070867,NM_001077399.3
PNKD,NP_072094,NM_022572.4
BCS1L,NP_004319,NM_004328.5
BCS1L,NP_001244271,NM_001257342.2
BCS1L,NP_001073335,NM_001079866.2
BCS1L,NP_001244272,NM_001257343.2
BCS1L,NP_001244273,NM_001257344.2
ABCB6,NP_005680,NM_005689.4
MRPL44,NP_075066,NM_022915.5
EFHD1,NP_001230181,NM_001243252.2
EFHD1,NP_079478,NM_025202.4
AGXT,NP_000021,NM_000030.3
MTERF4,NP_872307,NM_182501.4
BOK,NP_115904,NM_032515.5
D2HGDH,NP_001274178,NM_001287249.2
DTYMK,NP_036277,NM_012145.4
DTYMK,NP_001158503,NM_001165031.2
D2HGDH,NP_689996,NM_152783.5
NEU4,NP_001161073,NM_001167601.3
NEU4,NP_001161072,NM_001167600.3
NEU4,NP_001161074,NM_001167602.3
NEU4,NP_542779,NM_080741.4
NEU4,NP_001161071,NM_001167599.3
ALDH1L1,NP_036322,NM_012190.4
ALDH1L1,NP_001257293,NM_001270364.2
ALDH1L1,NP_001257294,NM_001270365.2
CMC1,NP_872329,NM_182523.2
FHIT,NP_002003,NM_002012.4
FHIT,NP_001159715,NM_001166243.3
MRPL47,NP_065142,NM_020409.3
MRPL47,NP_817125,NM_177988.1
CHCHD4,NP_001091972,NM_001098502.2
CHCHD4,NP_653237,NM_144636.3
TCAIM,NP_001269844,NM_001282915.2
TCAIM,NP_001269843,NM_001282914.2
TCAIM,NP_776187,NM_173826.4
TCAIM,NP_001269842,NM_001282913.2
LARS2,NP_056155,NM_015340.4
NT5DC2,NP_001127703,NM_001134231.2
NT5DC2,NP_075059,NM_022908.3
CHDH,NP_060867,NM_018397.5
SLC25A26,NP_775742,NM_173471.4
SLC25A26,NP_001158268,NM_001164796.1
SUCLG2,NP_001171070,NM_001177599.2
SUCLG2,NP_003839,NM_003848.4
CPOX,NP_000088,NM_000097.7
POLQ,NP_955452,NM_199420.4
CHCHD6,NP_115719,NM_032343.3
MRPL3,NP_009139,NM_007208.4
NMNAT3,NP_001186976,NM_001200047.3
MRPS22,NP_064576,NM_020191.4
NMNAT3,NP_835471,NM_178177.5
EHHADH,NP_001159887,NM_001166415.2
EHHADH,NP_001957,NM_001966.4
OPA1,NP_570847,NM_130834.3
OPA1,NP_570850,NM_130837.3
OPA1,NP_570844,NM_130831.3
OPA1,NP_570848,NM_130835.3
OPA1,NP_570849,NM_130836.3
OPA1,NP_056375,NM_015560.3
OPA1,NP_570845,NM_130832.3
OPA1,NP_570846,NM_130833.3
BDH1,NP_004042,NM_004051.5
BDH1,NP_976060,NM_203315.3
BDH1,NP_976059,NM_203314.3
TRNT1,NP_886552,NM_182916.3
OGG1,NP_058434,NM_016826.3
OGG1,NP_058213,NM_016820.4
OGG1,NP_058436,NM_016827.3
OGG1,NP_058212,NM_016819.4
OGG1,NP_058214,NM_016821.3
OGG1,NP_002533,NM_002542.6
OGG1,NP_058437,NM_016828.3
OGG1,NP_058438,NM_016829.3
RPUSD3,NP_775930,NM_173659.5
RPUSD3,NP_001136019,NM_001142547.3
TAMM41,NP_001271330,NM_001284401.2
TAMM41,NP_620162,NM_138807.4
MRPS25,NP_071942,NM_022497.5
OXNAD1,NP_612390,NM_138381.5
OXSM,NP_060367,NM_017897.3
OXSM,NP_001138863,NM_001145391.2
ACAA1,NP_001123882,NM_001130410.2
ACAA1,NP_001598,NM_001607.4
EXOG,NP_005098,NM_005107.4
EXOG,NP_001138936,NM_001145464.2
SLC25A38,NP_060345,NM_017875.4
HIGD1A,NP_054775,NM_014056.4
HIGD1A,NP_001093139,NM_001099669.2
HIGD1A,NP_001093138,NM_001099668.2
TCAIM,NP_001025011,NM_001029840.3
TCAIM,NP_001025010,NM_001029839.3
DHX30,NP_619520,NM_138615.3
DHX30,NP_055781,NM_014966.4
NME6,NP_005784,NM_005793.5
CCDC51,NP_078937,NM_024661.5
CCDC51,NP_001243894,NM_001256965.3
CCDC51,NP_001243895,NM_001256966.3
CCDC51,NP_001243896,NM_001256967.3
CCDC51,NP_001243897,NM_001256968.3
CCDC51,NP_001243898,NM_001256969.3
CCDC51,NP_001243893,NM_001256964.2
UQCRC1,NP_003356,NM_003365.3
SLC25A20,NP_000378,NM_000387.6
NDUFAF3,NP_951047,NM_199073.2
NDUFAF3,NP_951033,NM_199070.2
NDUFAF3,NP_951056,NM_199074.2
NDUFAF3,NP_951032,NM_199069.2
GPX1,NP_958799,NM_201397.3
GPX1,NP_000572,NM_000581.4
AMT,NP_001158184,NM_001164712.2
AMT,NP_000472,NM_000481.4
AMT,NP_001158183,NM_001164711.2
AMT,NP_001158182,NM_001164710.2
HEMK1,NP_057257,NM_016173.5
ALAS1,NP_954635,NM_199166.2
ALAS1,NP_000679,NM_000688.6
GLYCTK,NP_001138423,NM_001144951.2
GLYCTK,NP_660305,NM_145262.4
PDE12,NP_808881,NM_177966.7
PDHB,NP_001166939,NM_001173468.2
PDHB,NP_000916,NM_000925.4
NSUN3,NP_071355,NM_022072.5
NIT2,NP_064587,NM_020202.5
TOMM70,NP_055635,NM_014820.5
TRMT10C,NP_060289,NM_017819.4
ABHD10,NP_060864,NM_018394.4
ABHD10,NP_001258998,NM_001272069.2
TIMMDC1,NP_057673,NM_016589.4
COX17,NP_005685,NM_005694.2
NDUFB4,NP_001161803,NM_001168331.2
NDUFB4,NP_004538,NM_004547.6
FAM162A,NP_055182,NM_014367.4
CCDC58,NP_001017928,NM_001017928.4
ACAD9,NP_054768,NM_014049.5
ACAD11,NP_115545,NM_032169.5
PCCB,NP_001171485,NM_001178014.2
PCCB,NP_000523,NM_000532.5
SLC25A36,NP_001098117,NM_001104647.3
SLC25A36,NP_060625,NM_018155.3
C3orf33,NP_775928,NM_173657.3
GFM1,NP_079272,NM_024996.7
MFN1,NP_284941,NM_033540.3
NDUFB5,NP_001186886,NM_001199957.2
NDUFB5,NP_001186887,NM_001199958.2
NDUFB5,NP_002483,NM_002492.4
DNAJC19,NP_001177162,NM_001190233.2
DNAJC19,NP_660304,NM_145261.4
MCCC1,NP_064551,NM_020166.5
PARL,NP_061092,NM_018622.7
PARL,NP_001032728,NM_001037639.3
PRIMPOL,NP_689896,NM_152683.4
LETM1,NP_036450,NM_012318.3
SLC30A9,NP_006336,NM_006345.4
GUF1,NP_068746,NM_021927.3
COX7B2,NP_570972,NM_130902.3
OCIAD2,NP_689611,NM_152398.4
OCIAD2,NP_001014446,NM_001014446.3
OCIAD2,NP_001273702,NM_001286773.2
OCIAD2,NP_001273703,NM_001286774.2
GRSF1,NP_002083,NM_002092.4
GRSF1,NP_001091947,NM_001098477.2
COX18,NP_776188,NM_173827.4
MTHFD2L,NP_001138450,NM_001144978.3
PPA2,NP_789843,NM_176867.3
PPA2,NP_789842,NM_176866.2
PPA2,NP_008834,NM_006903.4
PPA2,NP_789845,NM_176869.3
HADH,NP_001171634,NM_001184705.4
HADH,NP_005318,NM_005327.7
MCUB,NP_060388,NM_017918.5
ACSL1,NP_001273641,NM_001286712.1
ACSL1,NP_001273637,NM_001286708.2
ACSL1,NP_001273640,NM_001286711.2
ACSL1,NP_001986,NM_001995.5
ATP5ME,NP_009031,NM_007100.4
NAT8L,NP_848652,NM_178557.4
GRPEL1,NP_079472,NM_025196.4
QDPR,NP_000311,NM_000320.3
LAP3,NP_056991,NM_015907.3
SMIM20,NP_001138904,NM_001145432.3
LIAS,NP_006850,NM_006859.4
LIAS,NP_001265520,NM_001278591.2
LIAS,NP_919433,NM_194451.3
LIAS,NP_001265519,NM_001278590.2
LIAS,NP_001265521,NM_001278592.2
OCIAD1,NP_060300,NM_017830.4
OCIAD1,NP_001073308,NM_001079839.3
OCIAD1,NP_001073309,NM_001079840.3
OCIAD1,NP_001073311,NM_001079842.3
OCIAD1,NP_001073310,NM_001079841.3
OCIAD1,NP_001161726,NM_001168254.2
PAICS,NP_001072992,NM_001079524.2
PAICS,NP_001072993,NM_001079525.2
PAICS,NP_006443,NM_006452.4
NOA1,NP_115689,NM_032313.4
MRPL1,NP_064621,NM_020236.4
COQ2,NP_056512,NM_015697.9
MRPS18C,NP_057151,NM_016067.4
NUDT9,NP_932155,NM_198038.3
NUDT9,NP_076952,NM_024047.5
NUDT9,NP_001234940,NM_001248011.2
PPM1K,NP_689755,NM_152542.5
PYURF,NP_116295,NM_032906.5
PDHA2,NP_005381,NM_005390.5
NUDT6,NP_009014,NM_007083.5
NUDT6,NP_932158,NM_198041.3
SLC25A31,NP_112581,NM_031291.4
NOCT,NP_036250,NM_012118.4
NDUFC1,NP_001171920,NM_001184991.1
NDUFC1,NP_001171918,NM_001184989.2
NDUFC1,NP_001171919,NM_001184990.1
NDUFC1,NP_001171915,NM_001184986.1
NDUFC1,NP_001171917,NM_001184988.1
MGARP,NP_116012,NM_032623.4
NDUFC1,NP_002485,NM_002494.3
NDUFC1,NP_001171916,NM_001184987.1
UCP1,NP_068605,NM_021833.5
MMAA,NP_758454,NM_172250.3
GATB,NP_004555,NM_004564.3
